0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
-521.0436,32.191124,-15.881985,9.013621,-5.7454085,-19.681181,-12.032732,-12.366016,-11.4532385,2.9268377,-15.879418,-7.3812013,0.7063198,-7.7117143,-3.4147794,-1.3844388,-3.0558734,7.1049323,8.835407,14.215958,16.354162,7.4949017,2.0787296,-6.302447,-7.9153085,3.0554347,-0.48960295,-1.7413217,-10.00407,-5.2403007,0.9649333,2.9175713,-7.0907297,-5.859178,-3.4775808,2.271114,-0.35276508,2.067114,5.865015,8.221633
-585.09216,40.12402,-13.904371,9.486465,-3.5291333,-16.690344,-9.640829,-14.8428,-9.589257,3.2478478,-15.488315,-6.2854896,1.1235988,-7.048175,-6.492302,-1.3062243,-2.5331008,5.4215226,7.7817636,12.216215,13.945101,10.153639,1.342144,-5.194355,-8.27049,2.4013755,-1.8960098,-0.5058877,-9.218737,-6.1910496,0.064993575,4.1015573,-5.835335,-5.7152076,-5.440658,2.0625703,-0.48120546,1.2292295,4.488085,9.619754
-561.0662,44.558495,-17.68453,3.6319666,-6.5431204,-19.966269,-13.883305,-15.571896,-7.501289,0.19920167,-18.415937,-6.915837,-1.91756,-6.8831015,-4.7869234,-1.7886275,-3.719926,8.986561,6.872198,15.165549,17.301504,10.179993,1.5804625,-7.3298316,-10.059722,2.8510864,-1.3451667,-2.797227,-8.937367,-6.2914414,0.6419682,3.7833073,-7.7537675,-7.274996,-4.9778156,1.7793621,-0.057365034,0.959829,7.5403485,10.502566
-580.64777,37.28623,-12.766373,5.440324,-4.301474,-17.65671,-15.274298,-15.331398,-7.4459853,1.4062208,-17.93783,-5.999572,0.09364762,-8.808093,-6.338341,-1.619641,-2.6202018,6.8332386,10.018066,15.256651,17.036985,9.78049,2.4504921,-8.582014,-8.751736,1.6381932,-2.1388378,-1.485222,-11.56728,-4.9077773,1.3477205,2.6370451,-8.56273,-6.6451526,-4.330458,3.1644115,-0.10552423,3.008337,6.3096805,9.792684
-617.2188,32.76131,-6.4778576,5.788216,-7.082933,-13.818783,-13.427742,-10.045258,-8.722937,-1.9495543,-15.409026,-1.7606605,-2.5618234,-9.9331665,-4.882155,-4.3605256,-2.059927,7.379813,11.850184,18.46992,13.856202,8.765566,2.0930421,-7.3380146,-4.683514,0.975093,-1.6902335,-0.3529745,-8.325281,-7.1249537,-2.9388762,0.9015601,-4.6002846,-3.034109,-5.2063236,1.9500074,-0.33133507,1.7368773,1.1139712,9.416114
-579.4175,44.285175,-11.863609,8.264212,-0.4946158,-11.089681,-15.727888,-16.978115,-7.291532,2.3219934,-16.979511,-7.146566,4.0306926,-4.451135,-4.213678,-1.0094215,0.7373611,7.5237446,6.660616,11.633454,13.478447,8.8778305,6.042686,-2.5534618,-10.085701,1.2504908,-3.1341217,-0.09707352,-9.208444,-8.119844,-4.748575,2.2695076,-2.9842308,-4.9401646,-5.3485856,-0.40311417,0.5129402,1.3983282,1.683448,8.583711
-560.0792,43.24229,-16.591564,10.610086,-6.8941526,-10.084806,-13.988976,-15.59254,-13.215344,6.425866,-15.229765,-9.803828,2.5688145,-7.236328,-8.204257,-3.962777,-1.5513113,2.7707953,7.636789,12.12772,12.178496,8.47061,3.1772213,-1.376243,-8.66071,-0.2994952,-3.627629,-0.03943153,-6.7433476,-9.990026,-4.614186,1.0313587,-1.0745157,-3.0423741,-5.513115,1.286469,0.6360848,-0.045532867,-0.562586,6.459388
-499.6996,40.985626,-20.945137,12.455484,-3.410467,-15.799582,-5.490108,-11.628197,-11.775055,5.182772,-12.069887,-6.9350147,2.3425305,-6.6140695,-4.2832336,-3.6103916,-0.93428034,4.4770474,5.680536,9.948574,14.531587,8.630222,3.9355311,-0.22217941,-5.26607,2.071335,0.36243293,0.72951716,-7.02215,-4.1381617,-2.1819196,1.52951,-1.9275563,-2.1831234,-3.368303,2.559383,-0.03042703,-0.3449887,1.700969,6.575812
-487.81995,40.26148,-21.87165,6.4071736,-3.5161328,-17.449886,-6.8539867,-15.621626,-14.624208,5.308768,-13.906323,-10.82931,2.7139232,-2.8247821,-5.6872926,-1.3402281,-1.4317598,10.552431,9.6941,13.8972025,13.271614,9.238272,0.15500034,2.2187638,-7.985095,5.529219,-1.4725492,0.92644835,-7.959319,-2.1713948,-5.6608496,3.03384,-5.1029625,-2.27633,-3.6476443,1.8496692,1.7767923,2.0962863,4.0451093,9.160384
-608.5294,44.92087,-13.544343,4.566543,-6.393957,-15.385525,-10.3548155,-12.612526,-15.237282,2.414764,-12.270333,-8.184469,1.4542863,-5.9422345,-7.931833,-2.7874067,-0.15842183,5.5503073,9.731269,10.463191,14.726696,9.552612,3.7977133,-1.7817457,-8.001599,-1.4349546,-0.6124621,-2.0116105,-4.9610686,-7.415021,-5.9856963,2.2666607,-1.5455079,-3.3327773,-6.7627907,0.2372452,0.37886012,-0.21412553,0.109373994,9.467722
-572.9061,34.375473,-12.867764,3.3263195,-3.7183418,-20.340717,-13.7628,-15.931407,-11.847502,-1.1894308,-16.538862,-12.14191,1.4500513,-8.282225,-8.014544,-0.42836547,-2.8316848,8.259064,9.351733,13.765854,16.509848,11.246185,1.1755834,1.111878,-12.756925,0.82988703,-2.3029423,0.70562553,-8.025509,-8.523333,-8.591493,2.1071513,-0.27188256,-3.7954435,-6.086454,1.533133,0.31900558,-1.1494228,-1.2224168,10.065496
-558.08813,42.769783,-14.54948,9.847167,-3.5012898,-11.180567,-9.451917,-10.998599,-11.985036,2.9132605,-11.567663,-7.68312,0.4457359,-6.0623913,-5.707596,-3.342075,-0.376744,3.6715357,6.2077446,12.045541,13.247114,7.656586,3.1994667,-2.1127937,-7.1087623,1.0310873,-1.3926868,-0.12926136,-7.2029386,-6.638435,-4.1703978,2.5368876,-1.8179727,-3.5444856,-5.7158775,1.2885052,-0.25053778,-0.44037694,2.1478283,7.308412
-573.6743,42.096867,-10.098819,4.240086,-3.0392294,-12.857275,-10.822197,-15.120211,-11.585661,2.655096,-10.923677,-8.770114,2.03636,-2.1160145,-8.0013685,-0.7972499,0.08813311,7.3739057,12.009665,14.042855,12.1219425,8.694687,0.45661783,-1.2820044,-5.0187755,-0.24033593,0.10324623,-2.7994788,-6.28822,-5.9929175,-4.511035,1.2829906,-4.6019425,-3.6604385,-4.336708,1.883311,0.80146295,2.7664104,2.3855598,8.349287
-486.08344,37.539307,-18.622627,6.866866,-0.8848936,-20.810482,-13.990732,-17.160427,-15.471667,4.59913,-14.917264,-13.0205,5.748663,-2.7885773,-8.182437,-0.31344652,-1.815751,11.379029,8.511353,15.17309,17.20379,12.114833,-0.03437658,1.1781083,-13.124453,3.1643996,0.75100744,-1.3826711,-8.504749,-6.9789686,-5.0719986,3.584355,-4.002381,-5.9819746,-6.0877795,4.0173354,0.6470555,2.1206114,3.1937091,10.625104
-475.69476,26.596756,-14.495293,13.397811,-7.526332,-16.348516,-7.462783,-13.750879,-13.883863,5.348314,-14.465678,-7.2559276,-0.13246875,-8.808209,-5.161525,-3.8734303,-2.5892599,2.4422755,4.9582376,12.200258,15.712641,11.408444,6.0464664,-3.9348552,-7.950324,0.87784904,1.1696122,2.0355186,-6.963761,-6.6591783,-2.6874444,3.5482602,-1.1058022,-4.443081,-4.7814484,1.4576595,0.1854726,-0.41916406,0.8020724,6.3659353
